Title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Running time,Budget,Box office,Production companies,Screenplay by,Story by,Release date,Countries,Languages,Rotten Tomatoes
Guardians of the Galaxy,James Gunn,"['James Gunn', 'Nicole Perlman']",Guardians of the Galaxy by  Dan Abnett Andy Lanning,['Kevin Feige'],"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio del Toro']",Ben Davis,"['Fred Raskin', 'Craig Wood', 'Hughes Winborne']",['Tyler Bates'],Walt Disney Studios Motion Pictures,122,232300000.0,772800000.0,['Marvel Studios'],,,2014-07-21,United States,English,92.0
Avengers: Age of Ultron,Joss Whedon,['Joss Whedon'],Avengers by  Stan Lee Jack Kirby,['Kevin Feige'],"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Stellan Skarsgård', 'James Spader', 'Samuel L. Jackson']",Ben Davis,"['Jeffrey Ford', 'Lisa Lassek']","['Brian Tyler', 'Danny Elfman']",Walt Disney Studios Motion Pictures,141,444000000.0,1403000000.0,['Marvel Studios'],,,2015-04-13,United States,English,76.0
Ant-Man,Peyton Reed,,Ant-Man by  Stan Lee Larry Lieber Jack Kirby,['Kevin Feige'],"['Paul Rudd', 'Evangeline Lilly', 'Corey Stoll', 'Bobby Cannavale', 'Michael Peña', 'Tip ""T.I."" Harris', 'Anthony Mackie', 'Wood Harris', 'Judy Greer', 'David Dastmalchian', 'Michael Douglas']",Russell Carpenter,"['Dan Lebental', 'Colby Parker, Jr.']",['Christophe Beck'],Walt Disney Studios Motion Pictures,117,130000000.0,519299999.99999994,['Marvel Studios'],"
 Edgar Wright 
 Joe Cornish 
 Adam McKay 
 Paul Rudd 
","['Edgar Wright', 'Joe Cornish']",2015-06-29,United States,English,83.0
Fantastic Four,Josh Trank,,Fantastic Four by  Stan Lee Jack Kirby,"['Matthew Vaughn', 'Simon Kinberg', 'Gregory Goodman', 'Hutch Parker', 'Robert Kulzer']","['Miles Teller', 'Michael B. Jordan', 'Kate Mara', 'Jamie Bell', 'Toby Kebbell', 'Reg E. Cathey', 'Tim Blake Nelson']",Matthew Jensen,"['Elliot Greenberg', 'Stephen Rivkin']","['Marco Beltrami', 'Philip Glass']",20th Century Fox,100,120000000.0,167900000.0,"['Marvel Entertainment', 'Marv Films', 'Kinberg Genre', 'Constantin Film', 'Hutch Parker Entertainment', 'TSG Entertainment']","
 Jeremy Slater 
 Simon Kinberg 
 Josh Trank 
",,2015-08-04,United States,English,28.0
Deadpool,Tim Miller,"['Rhett Reese', 'Paul Wernick']",Deadpool by  Fabian Nicieza Rob Liefeld,"['Simon Kinberg', 'Ryan Reynolds', 'Lauren Shuler Donner']","['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein', 'T. J. Miller', 'Gina Carano', 'Brianna Hildebrand']",Ken Seng,['Julian Clarke'],['Tom Holkenborg'],20th Century Fox,108,58000000.0,782600000.0,"['20th Century Fox', 'Marvel Entertainment', 'Kinberg Genre', ""The Donners' Company"", 'TSG Entertainment']",,,2016-02-08,United States,English,85.0
Captain America: Civil War,"
 Anthony Russo Joe Russo 
",,Captain America by  Joe Simon Jack Kirby,['Kevin Feige'],"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",['Henry Jackman'],Walt Disney Studios Motion Pictures,147,250000000.0,1153000000.0,['Marvel Studios'],"
 Christopher Markus Stephen McFeely 
",,2016-04-12,United States,English,90.0
X-Men: Apocalypse,Bryan Singer,,"
 X-Men by  Stan Lee Jack Kirby 
 Apocalypse by  Louise Simonson Jackson Guice 
","['Simon Kinberg', 'Bryan Singer', 'Hutch Parker', 'Lauren Shuler Donner']","['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Oscar Isaac', 'Nicholas Hoult', 'Rose Byrne', 'Tye Sheridan', 'Sophie Turner', 'Olivia Munn', 'Lucas Till']",Newton Thomas Sigel,"['John Ottman', 'Michael Louis Hill']",['John Ottman'],20th Century Fox,144,178000000.0,543900000.0,"['Marvel Entertainment', 'TSG Entertainment', 'Bad Hat Harry Productions', 'Kinberg Genre', ""The Donners' Company""]",Simon Kinberg,"['Bryan Singer', 'Simon Kinberg', 'Michael Dougherty', 'Dan Harris']",2016-05-09,United States,English,46.0
Doctor Strange,Scott Derrickson,"['Jon Spaihts', 'Scott Derrickson', 'C. Robert Cargill']",Doctor Strange by  Stan Lee Steve Ditko,['Kevin Feige'],"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong', 'Michael Stuhlbarg', 'Benjamin Bratt', 'Scott Adkins', 'Mads Mikkelsen', 'Tilda Swinton']",Ben Davis,"['Wyatt Smith', 'Sabrina Plisco']",['Michael Giacchino'],Walt Disney Studios Motion Pictures,115,165000000.0,677800000.0,['Marvel Studios'],,,2016-10-13,United States,English,89.0
Logan,James Mangold,,Wolverine by  Roy Thomas Len Wein John Romita Sr.,"['Hutch Parker', 'Simon Kinberg', 'Lauren Shuler Donner']","['Hugh Jackman', 'Patrick Stewart', 'Richard E. Grant', 'Boyd Holbrook', 'Stephen Merchant', 'Dafne Keen']",John Mathieson,"['Michael McCusker', 'Dirk Westervelt']",['Marco Beltrami'],20th Century Fox,137,97000000.0,619200000.0,"['20th Century Fox', 'Marvel Entertainment', 'Kinberg Genre', 'Hutch Parker Productions', ""The Donners' Company"", 'TSG Entertainment']","
 Scott Frank 
 James Mangold 
 Michael Green 
",['James Mangold'],2017-02-17,United States,English,94.0
Guardians of the Galaxy Vol. 2,James Gunn,['James Gunn'],Guardians of the Galaxy by  Dan Abnett Andy Lanning,['Kevin Feige'],"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Elizabeth Debicki', 'Chris Sullivan', 'Sean Gunn', 'Sylvester Stallone', 'Kurt Russell']",Henry Braham,"['Fred Raskin', 'Craig Wood']",['Tyler Bates'],Walt Disney Studios Motion Pictures,137,200000000.0,863800000.0,['Marvel Studios'],,,2017-04-10,United States,English,85.0
Spider-Man: Homecoming,Jon Watts,,Spider-Man by  Stan Lee Steve Ditko,"['Kevin Feige', 'Amy Pascal']","['Tom Holland', 'Michael Keaton', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon', 'Laura Harrier', 'Tony Revolori', 'Bokeem Woodbine', 'Tyne Daly', 'Marisa Tomei', 'Robert Downey Jr.']",Salvatore Totino,"['Dan Lebental', 'Debbie Berman']",['Michael Giacchino'],Sony Pictures Releasing,133,175000000.0,880200000.0,"['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']","
 Jonathan Goldstein 
 John Francis Daley 
 Jon Watts 
 Christopher Ford 
 Chris McKenna 
 Erik Sommers 
","['Jonathan Goldstein', 'John Francis Daley']",2017-06-28,United States,English,92.0
Thor: Ragnarok,Taika Waititi,"['Eric Pearson', 'Craig Kyle', 'Christopher L. Yost']",Thor by  Stan Lee Larry Lieber Jack Kirby,['Kevin Feige'],"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Idris Elba', 'Jeff Goldblum', 'Tessa Thompson', 'Karl Urban', 'Mark Ruffalo', 'Anthony Hopkins']",Javier Aguirresarobe,"['Joel Negron', 'Zene Baker']",['Mark Mothersbaugh'],Walt Disney Studios Motion Pictures,130,180000000.0,854000000.0,['Marvel Studios'],,,2017-10-10,United States,English,93.0
Black Panther,Ryan Coogler,"['Ryan Coogler', 'Joe Robert Cole']",Black Panther by  Stan Lee Jack Kirby,['Kevin Feige'],"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis']",Rachel Morrison,"['Michael P. Shawver', 'Debbie Berman']",['Ludwig Göransson'],Walt Disney Studios Motion Pictures,134,200000000.0,1348000000.0,['Marvel Studios'],,,2018-01-29,United States,English,96.0
Avengers: Infinity War,Anthony Russo Joe Russo,,Avengers by  Stan Lee Jack Kirby,['Kevin Feige'],"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Don Cheadle', 'Tom Holland', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Danai Gurira', 'Letitia Wright', 'Dave Bautista', 'Zoe Saldaña', 'Josh Brolin', 'Chris Pratt']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",['Alan Silvestri'],Walt Disney Studios Motion Pictures,149,325000000.0,2048000000.0,['Marvel Studios'],Christopher Markus Stephen McFeely,,2018-04-23,United States,English,85.0
Deadpool 2,David Leitch,"['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds']",Deadpool by  Fabian Nicieza Rob Liefeld,"['Simon Kinberg', 'Ryan Reynolds', 'Lauren Shuler Donner']","['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Brianna Hildebrand', 'Jack Kesy']",Jonathan Sela,"['Dirk Westervelt', 'Craig Alpert', 'Elísabet Ronaldsdóttir']",['Tyler Bates'],20th Century Fox,119,110000000.0,785800000.0,"['20th Century Fox', 'Marvel Entertainment', 'Kinberg Genre', 'Maximum Effort', ""The Donners' Company"", 'TSG Entertainment']",,,2018-05-10,United States,English,84.0
Deadpool 2,David Leitch,"['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds']",Deadpool by  Fabian Nicieza Rob Liefeld,"['Simon Kinberg', 'Ryan Reynolds', 'Lauren Shuler Donner']","['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Brianna Hildebrand', 'Jack Kesy']",Jonathan Sela,"['Dirk Westervelt', 'Craig Alpert', 'Elísabet Ronaldsdóttir']",['Tyler Bates'],20th Century Fox,119,110000000.0,785800000.0,"['20th Century Fox', 'Marvel Entertainment', 'Kinberg Genre', 'Maximum Effort', ""The Donners' Company"", 'TSG Entertainment']",,,2018-05-10,United States,English,84.0
